#  Washington Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201210,37.8,0.7
201211,33.3,3.3
201212,27.9,2.7
201301,23.6,1.2
201302,28.4,2.6
201303,30.8,1.3
201304,34.7,0.5
201305,41.9,1.8
201306,47.6,2.0
201307,52.9,2.6
201308,53.7,3.9
201309,49.4,4.8
201310,35.6,-1.5
201311,29.8,-0.2
201312,21.8,-3.4
201401,28.3,5.9
201402,23.4,-2.4
201403,31.2,1.7
201404,35.4,1.2
201405,42.4,2.3
201406,46.9,1.3
201407,54.8,4.5
201408,54.6,4.8
201409,47.7,3.1
201410,43.0,5.9
201411,28.9,-1.1
201412,28.7,3.5
201501,29.6,7.2
201502,33.1,7.3
201503,34.6,5.1
201504,34.2,0.0
201505,44.5,4.4
201506,51.8,6.2
201507,55.0,4.7
201508,53.2,3.4
201509,44.5,-0.1
201510,42.6,5.5
201511,28.9,-1.1
201512,27.2,2.0
201601,28.1,5.7
201602,31.8,6.0
201603,33.2,3.7
201604,39.8,5.6
201605,43.8,3.7
201606,47.6,2.0
201607,51.8,1.5
201608,52.0,2.2
201609,44.8,0.2
201610,40.4,3.3
201611,36.9,6.9
201612,20.2,-5.0
201701,18.7,-3.7
201702,24.3,-1.5
201703,32.3,2.8
201704,35.2,1.0
201705,41.8,1.7
201706,47.4,1.8
201707,52.5,2.2
201708,54.0,4.2
201709,47.7,3.1
201710,35.8,-1.3
201711,32.0,2.0
201712,24.6,-0.6
201801,30.5,8.1
201802,25.0,-0.8
201803,29.6,0.1
201804,35.7,1.5
201805,45.9,5.8
201806,46.4,0.8
201807,53.0,2.7
201808,52.7,2.9
201809,44.6,0.0
201810,37.4,0.3
201811,31.9,1.9
201812,27.7,2.5
201901,28.4,6.0
201902,18.6,-7.2
201903,25.9,-3.6
201904,36.9,2.7
201905,44.1,4.0
201906,47.4,1.8
201907,51.7,1.4
201908,53.7,3.9
201909,47.7,3.1
201910,33.2,-3.9
201911,29.8,-0.2
201912,29.2,4.0
202001,29.0,6.6
202002,27.3,1.5
202003,28.8,-0.7
202004,34.6,0.4
202005,42.4,2.3
202006,47.2,1.6
202007,51.5,1.2
202008,52.0,2.2
202009,49.1,4.5
202010,38.7,1.6
202011,30.9,0.9
202012,28.2,3.0
202101,29.2,6.8
202102,25.2,-0.6
202103,29.5,0.0
202104,34.2,0.0
202105,40.6,0.5
202106,51.4,5.8
202107,55.5,5.2
202108,53.3,3.5
202109,46.3,1.7
202110,37.5,0.4
202111,33.7,3.7
202112,23.9,-1.3
202201,25.5,3.1
202202,25.3,-0.5
202203,32.8,3.3
202204,31.4,-2.8
202205,39.1,-1.0
202206,47.4,1.8
202207,54.2,3.9
202208,55.6,5.8
202209,48.6,4.0
202210,41.9,4.8
202211,24.9,-5.1
202212,20.8,-4.4
