#  California Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201506,59.6,5.9
201507,61.4,1.9
201508,62.0,3.4
201509,58.0,4.2
201510,52.6,6.4
201511,36.3,-1.9
201512,32.8,-0.4
201601,36.1,3.4
201602,39.3,4.2
201603,41.3,3.7
201604,45.5,3.9
201605,49.6,2.2
201606,58.6,4.9
201607,61.6,2.1
201608,61.2,2.6
201609,54.8,1.0
201610,49.0,2.8
201611,41.8,3.6
201612,33.9,0.7
201701,34.0,1.3
201702,39.0,3.9
201703,41.6,4.0
201704,43.6,2.0
201705,49.7,2.3
201706,58.2,4.5
201707,63.9,4.4
201708,63.6,5.0
201709,56.6,2.8
201710,47.4,1.2
201711,43.1,4.9
201712,35.2,2.0
201801,39.1,6.4
201802,34.2,-0.9
201803,38.2,0.6
201804,44.3,2.7
201805,50.1,2.7
201806,56.3,2.6
201807,65.1,5.6
201808,61.8,3.2
201809,56.1,2.3
201810,48.3,2.1
201811,40.7,2.5
201812,35.7,2.5
201901,36.9,4.2
201902,32.1,-3.0
201903,38.5,0.9
201904,46.1,4.5
201905,46.9,-0.5
201906,56.9,3.2
201907,61.1,1.6
201908,62.0,3.4
201909,55.3,1.5
201910,44.2,-2.0
201911,40.4,2.2
201912,36.7,3.5
202001,35.6,2.9
202002,36.3,1.2
202003,37.7,0.1
202004,44.5,2.9
202005,50.9,3.5
202006,56.0,2.3
202007,61.1,1.6
202008,64.2,5.6
202009,59.1,5.3
202010,51.2,5.0
202011,38.5,0.3
202012,34.3,1.1
202101,35.4,2.7
202102,36.0,0.9
202103,36.0,-1.6
202104,44.0,2.4
202105,50.2,2.8
202106,60.0,6.3
202107,65.4,5.9
202108,62.3,3.7
202109,57.7,3.9
202110,46.2,0.0
202111,43.4,5.2
202112,34.7,1.5
202201,34.4,1.7
202202,33.6,-1.5
202203,39.7,2.1
202204,42.6,1.0
202205,48.3,0.9
202206,57.0,3.3
202207,62.8,3.3
202208,64.0,5.4
202209,60.1,6.3
202210,49.7,3.5
202211,35.2,-3.0
202212,34.7,1.5
