#  Kansas Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201605,49.7,-1.2
201606,64.4,3.6
201607,68.0,2.1
201608,65.2,0.9
201609,58.3,3.0
201610,47.0,4.0
201611,36.0,6.4
201612,17.6,-2.8
201701,22.3,5.1
201702,28.4,7.2
201703,35.4,5.8
201704,43.9,3.5
201705,49.3,-1.6
201706,61.8,1.0
201707,67.5,1.6
201708,61.2,-3.1
201709,57.1,1.8
201710,44.2,1.2
201711,32.7,3.1
201712,20.8,0.4
201801,16.4,-0.8
201802,19.1,-2.1
201803,31.6,2.0
201804,33.1,-7.3
201805,57.7,6.8
201806,65.3,4.5
201807,66.3,0.4
201808,64.1,-0.2
201809,59.1,3.8
201810,42.3,-0.7
201811,26.5,-3.1
201812,23.2,2.8
201901,21.5,4.3
201902,18.0,-3.2
201903,28.5,-1.1
201904,41.3,0.9
201905,49.7,-1.2
201906,59.8,-1.0
201907,66.1,0.2
201908,65.9,1.6
201909,63.2,7.9
201910,38.0,-5.0
201911,26.6,-3.0
201912,24.8,4.4
202001,23.1,5.9
202002,23.0,1.8
202003,36.2,6.6
202004,37.8,-2.6
202005,49.7,-1.2
202006,64.2,3.4
202007,67.7,1.8
202008,63.6,-0.7
202009,52.8,-2.5
202010,39.3,-3.7
202011,33.9,4.3
202012,23.5,3.1
202101,23.6,6.4
202102,13.3,-7.9
202103,35.5,5.9
202104,39.2,-1.2
202105,51.1,0.2
202106,63.3,2.5
202107,65.6,-0.3
202108,66.2,1.9
202109,58.9,3.6
202110,45.5,2.5
202111,33.2,3.6
202112,26.0,5.6
202201,16.2,-1.0
202202,17.1,-4.1
202203,29.5,-0.1
202204,39.2,-1.2
202205,52.4,1.5
202206,63.3,2.5
202207,67.9,2.0
202208,65.0,0.7
202209,56.8,1.5
202210,41.9,-1.1
202211,27.9,-1.7
202212,18.6,-1.8
